rank,ticker,company_name,sector,issuer_website,investor_relations_url,reports_url,edisclosure_url,reporting_standards,document_types,suitable_for_analysis,source_trust_level,last_verified_at,verification_status,source_page_status,preferred_acquisition_method,notes
11,YDEX,Yandex,technology,https://yandex.com,https://ir.yandex,https://ir.yandex,https://disclosure.skrin.ru/issuers?search=YDEX,IFRS,financial_statements;annual_report,true,official issuer,2026-05-12,needs_manual_review,reachable_no_static_direct_links,issuer_specific_js_or_embedded_json_adapter,IR site is official; report archive structure requires manual review after redomiciliation.
12,MGNT,Magnit,retail,https://www.magnit.com,https://www.magnit.com/en/shareholders-and-investors/,https://www.magnit.com/en/shareholders-and-investors/results-and-reports/,https://disclosure.skrin.ru/issuers?search=MGNT,both,financial_statements;annual_report;issuer_report,true,official issuer,2026-05-12,needs_manual_review,reachable_no_static_direct_links,issuer_specific_js_or_embedded_json_adapter,Official results and reports page.
13,FIVE,X5 Group,retail,https://www.x5.ru,https://www.x5.ru/en/investors/,https://www.x5.ru/en/investors/reporting/,https://disclosure.skrin.ru/issuers?search=FIVE,IFRS,financial_statements;annual_report,true,official issuer,2026-05-12,needs_manual_review,stale_or_needs_update,update_source_page_then_direct_download,Official investor reporting page; issuer structure should be checked.
14,MOEX,Moscow Exchange,financials,https://www.moex.com,https://www.moex.com/s1167,https://www.moex.com/s1167,https://disclosure.skrin.ru/issuers?search=MOEX,both,financial_statements;annual_report;issuer_report,true,official issuer,2026-05-12,needs_manual_review,reachable_no_static_direct_links,issuer_specific_js_or_embedded_json_adapter,MOEX issuer IR reports page; MOEX ISS itself is market/identity only.
15,VTBR,VTB Bank,financials,https://www.vtb.com,https://www.vtb.com/ir/,https://www.vtb.com/ir/financial-results/,https://disclosure.skrin.ru/issuers?search=VTBR,both,financial_statements;annual_report;issuer_report,true,official issuer,2026-05-12,needs_manual_review,reachable_no_static_direct_links,issuer_specific_js_or_embedded_json_adapter,Official financial results page.
16,ALRS,ALROSA,metals_and_mining,https://www.alrosa.ru,https://www.alrosa.ru/en/investors/,https://www.alrosa.ru/en/investors/results-and-presentations/,https://disclosure.skrin.ru/issuers?search=ALRS,both,financial_statements;annual_report;issuer_report,true,official issuer,2026-05-12,needs_manual_review,stale_or_needs_update,update_source_page_then_direct_download,Official investor results page.
17,NLMK,NLMK,metals_and_mining,https://nlmk.com,https://nlmk.com/en/ir/,https://nlmk.com/en/ir/results-and-reports/,https://disclosure.skrin.ru/issuers?search=NLMK,both,financial_statements;annual_report;issuer_report,true,official issuer,2026-05-12,needs_manual_review,stale_or_needs_update,update_source_page_then_direct_download,Official results and reports page.
18,CHMF,Severstal,metals_and_mining,https://severstal.com,https://severstal.com/eng/ir/,https://severstal.com/eng/ir/results-reports/,https://disclosure.skrin.ru/issuers?search=CHMF,both,financial_statements;annual_report;issuer_report,true,official issuer,2026-05-12,needs_manual_review,tls_or_certificate_blocked,disclosure_provider_or_tls_diagnostics,Official results/reports page.
19,MAGN,MMK,metals_and_mining,https://mmk.ru,https://mmk.ru/en/investor/,https://mmk.ru/en/investor/results-and-reports/,https://disclosure.skrin.ru/issuers?search=MAGN,both,financial_statements;annual_report;issuer_report,true,official issuer,2026-05-12,needs_manual_review,stale_or_needs_update,update_source_page_then_direct_download,Official investor results page.
20,RUAL,UC RUSAL,metals_and_mining,https://rusal.ru,https://rusal.ru/en/investors/,https://rusal.ru/en/investors/reports/,https://disclosure.skrin.ru/issuers?search=RUAL,IFRS,financial_statements;annual_report,true,official issuer,2026-05-12,needs_manual_review,stale_or_needs_update,update_source_page_then_direct_download,Official investor reports page.
21,ENPG,En+ Group,utilities_and_metals,https://www.enplusgroup.com,https://www.enplusgroup.com/en/investors/,https://www.enplusgroup.com/en/investors/results-reports-and-presentations/,https://disclosure.skrin.ru/issuers?search=ENPG,IFRS,financial_statements;annual_report,true,official issuer,2026-05-12,needs_manual_review,stale_or_needs_update,update_source_page_then_direct_download,Official investor results/reports page.
22,PHOR,PhosAgro,chemicals,https://www.phosagro.com,https://www.phosagro.com/investors/,https://www.phosagro.com/investors/reports/,https://disclosure.skrin.ru/issuers?search=PHOR,both,financial_statements;annual_report;issuer_report,true,official issuer,2026-05-12,needs_manual_review,reachable_no_static_direct_links,issuer_specific_js_or_embedded_json_adapter,Official investor reports page.
23,ACRN,Acron,chemicals,https://www.acron.ru,https://www.acron.ru/en/investors/,https://www.acron.ru/en/investors/reports/,https://disclosure.skrin.ru/issuers?search=ACRN,both,financial_statements;annual_report;issuer_report,true,official issuer,2026-05-12,needs_manual_review,tls_or_certificate_blocked,disclosure_provider_or_tls_diagnostics,Official investor reports page.
24,AFLT,Aeroflot,transport,https://www.aeroflot.ru,https://ir.aeroflot.ru/en/,https://ir.aeroflot.ru/en/reporting/,https://disclosure.skrin.ru/issuers?search=AFLT,both,financial_statements;annual_report;issuer_report,true,official issuer,2026-05-12,needs_manual_review,reachable_no_static_direct_links,issuer_specific_js_or_embedded_json_adapter,Official reporting page.
25,MTSS,MTS,telecom,https://moskva.mts.ru,https://ir.mts.ru,https://ir.mts.ru/financial-center/financial-results,https://disclosure.skrin.ru/issuers?search=MTSS,both,financial_statements;annual_report;issuer_report,true,official issuer,2026-05-12,needs_manual_review,reachable_no_static_direct_links,issuer_specific_js_or_embedded_json_adapter,Official financial results page.
26,RTKM,Rostelecom,telecom,https://www.company.rt.ru,https://www.company.rt.ru/en/ir/,https://www.company.rt.ru/en/ir/reports/,https://disclosure.skrin.ru/issuers?search=RTKM,both,financial_statements;annual_report;issuer_report,true,official issuer,2026-05-12,needs_manual_review,stale_or_needs_update,update_source_page_then_direct_download,Official investor reports page.
27,FEES,FGC Rosseti,utilities,https://www.fsk-ees.ru,https://www.fsk-ees.ru/eng/investors/,https://www.fsk-ees.ru/eng/investors/,https://disclosure.skrin.ru/issuers?search=FEES,both,financial_statements;annual_report;issuer_report,true,official issuer,2026-05-12,needs_manual_review,reachable_no_static_direct_links,issuer_specific_js_or_embedded_json_adapter,Investor page; exact reports subsection requires manual review.
28,HYDR,RusHydro,utilities,https://www.rushydro.ru,https://www.rushydro.ru/investors/,https://www.rushydro.ru/investors/reports/,https://disclosure.skrin.ru/issuers?search=HYDR,both,financial_statements;annual_report;issuer_report,true,official issuer,2026-05-12,needs_manual_review,tls_or_certificate_blocked,disclosure_provider_or_tls_diagnostics,Official investor reports page.
29,IRAO,Inter RAO,utilities,https://www.interrao.ru,https://www.interrao.ru/en/investors/,https://www.interrao.ru/en/investors/reports/,https://disclosure.skrin.ru/issuers?search=IRAO,both,financial_statements;annual_report;issuer_report,true,official issuer,2026-05-12,needs_manual_review,timeout_or_slow_source,issuer_specific_adapter_or_manual_upload,Official investor reports page.
30,TRNFP,Transneft,transport,https://www.transneft.ru,https://www.transneft.ru/investors/,https://www.transneft.ru/investors/information-disclosure/,https://disclosure.skrin.ru/issuers?search=TRNFP,both,financial_statements;annual_report;issuer_report,true,official issuer,2026-05-12,needs_manual_review,reachable_no_static_direct_links,issuer_specific_js_or_embedded_json_adapter,Official investor disclosure page.
31,MSNG,Mosenergo,utilities,https://www.mosenergo.ru,https://www.mosenergo.ru/en/investors/,https://www.mosenergo.ru/en/investors/,https://disclosure.skrin.ru/issuers?search=MSNG,both,financial_statements;annual_report;issuer_report,true,official issuer,2026-05-12,needs_manual_review,stale_or_needs_update,update_source_page_then_direct_download,Investor page; exact reporting subsection requires manual review.
32,OGKB,OGK-2,utilities,https://www.ogk2.ru,https://www.ogk2.ru/en/investors/,https://www.ogk2.ru/en/investors/,https://disclosure.skrin.ru/issuers?search=OGKB,both,financial_statements;annual_report;issuer_report,true,official issuer,2026-05-12,needs_manual_review,stale_or_needs_update,update_source_page_then_direct_download,Investor page; exact reporting subsection requires manual review.
33,UPRO,Unipro,utilities,https://www.unipro.energy,https://www.unipro.energy/en/investors/,https://www.unipro.energy/en/investors/,https://disclosure.skrin.ru/issuers?search=UPRO,both,financial_statements;annual_report;issuer_report,true,official issuer,2026-05-12,needs_manual_review,reachable_no_static_direct_links,issuer_specific_js_or_embedded_json_adapter,Investor page; exact reporting subsection requires manual review.
34,PIKK,PIK,real_estate,https://www.pik.ru,https://www.pik.ru/investors,https://www.pik.ru/investors,https://disclosure.skrin.ru/issuers?search=PIKK,both,financial_statements;annual_report;issuer_report,true,official issuer,2026-05-12,needs_manual_review,access_blocked_or_js_required,issuer_specific_js_adapter_or_disclosure_provider,Investor page; report archive requires manual review.
35,SMLT,Samolet Group,real_estate,https://samoletgroup.ru,https://samoletgroup.ru/en/investors/,https://samoletgroup.ru/en/investors/,https://disclosure.skrin.ru/issuers?search=SMLT,both,financial_statements;annual_report;issuer_report,true,official issuer,2026-05-12,needs_manual_review,access_blocked_or_js_required,issuer_specific_js_adapter_or_disclosure_provider,Investor page; exact reporting subsection requires manual review.
36,LSRG,LSR Group,real_estate,https://www.lsrgroup.ru,https://www.lsrgroup.ru/en/investors-and-shareholders/,https://www.lsrgroup.ru/en/investors-and-shareholders/,https://disclosure.skrin.ru/issuers?search=LSRG,both,financial_statements;annual_report;issuer_report,true,official issuer,2026-05-12,needs_manual_review,stale_or_needs_update,update_source_page_then_direct_download,Investor page; exact reporting subsection requires manual review.
37,AFKS,Sistema,holding,https://sistema.com,https://sistema.com/investors-shareholders/,https://sistema.com/investors-shareholders/,https://disclosure.skrin.ru/issuers?search=AFKS,both,financial_statements;annual_report;issuer_report,true,official issuer,2026-05-12,needs_manual_review,access_blocked_or_js_required,issuer_specific_js_adapter_or_disclosure_provider,Investor page; exact reports subsection requires manual review.
38,MVID,M.Video-Eldorado,retail,https://www.mvideoeldorado.ru,https://www.mvideoeldorado.ru/en/shareholders-and-investors/,https://www.mvideoeldorado.ru/en/shareholders-and-investors/,https://disclosure.skrin.ru/issuers?search=MVID,both,financial_statements;annual_report;issuer_report,true,official issuer,2026-05-12,needs_manual_review,reachable_no_static_direct_links,issuer_specific_js_or_embedded_json_adapter,Investor page; exact reporting subsection requires manual review.
39,OZON,Ozon,retail_technology,https://ir.ozon.com,https://ir.ozon.com,https://ir.ozon.com,https://disclosure.skrin.ru/issuers?search=OZON,IFRS,financial_statements;annual_report,true,official issuer,2026-05-12,needs_manual_review,access_blocked_or_js_required,issuer_specific_js_adapter_or_disclosure_provider,Official IR site; issuer structure and current report access require review.
40,VKCO,VK,technology,https://vk.company,https://vk.company/en/investors/,https://vk.company/en/investors/,https://disclosure.skrin.ru/issuers?search=VKCO,IFRS,financial_statements;annual_report,true,official issuer,2026-05-12,needs_manual_review,reachable_no_static_direct_links,issuer_specific_js_or_embedded_json_adapter,Official investor page; current report access requires review.
41,POSI,Positive Technologies,technology,https://www.ptsecurity.com,https://www.ptsecurity.com/ww-en/about/investors/,https://www.ptsecurity.com/ww-en/about/investors/,https://disclosure.skrin.ru/issuers?search=POSI,both,financial_statements;annual_report;issuer_report,true,official issuer,2026-05-12,needs_manual_review,reachable_no_static_direct_links,issuer_specific_js_or_embedded_json_adapter,Official investor page; exact reporting subsection requires manual review.
42,ASTR,Astra Group,technology,https://astralinux.ru,https://ir.astralinux.ru,https://ir.astralinux.ru,https://disclosure.skrin.ru/issuers?search=ASTR,both,financial_statements;annual_report;issuer_report,true,official issuer,2026-05-12,needs_manual_review,needs_live_check,official_issuer_direct_or_disclosure_fallback,Official IR site; reporting archive requires manual review.
43,HEAD,HeadHunter,technology,https://www.headhunter.ru,https://ir.headhunter.com,https://ir.headhunter.com/financials/quarterly-results/,https://disclosure.skrin.ru/issuers?search=HEAD,IFRS,financial_statements;annual_report,true,official issuer,2026-05-12,needs_manual_review,needs_live_check,official_issuer_direct_or_disclosure_fallback,Official IR financials page.
44,CBOM,Credit Bank of Moscow,financials,https://mkb.ru,https://mkb.ru/en/investor-relations,https://mkb.ru/en/investor-relations,https://disclosure.skrin.ru/issuers?search=CBOM,both,financial_statements;annual_report;issuer_report,true,official issuer,2026-05-12,needs_manual_review,reachable_no_static_direct_links,issuer_specific_js_or_embedded_json_adapter,Official investor relations page; exact reports subsection requires manual review.
45,BSPB,Bank Saint Petersburg,financials,https://www.bspb.ru,https://www.bspb.ru/en/investors/,https://www.bspb.ru/en/investors/,https://disclosure.skrin.ru/issuers?search=BSPB,both,financial_statements;annual_report;issuer_report,true,official issuer,2026-05-12,needs_manual_review,reachable_no_static_direct_links,issuer_specific_js_or_embedded_json_adapter,Official investor page; exact reports subsection requires manual review.
46,RASP,Raspadskaya,metals_and_mining,https://www.raspadskaya.com,https://www.raspadskaya.com/investors/,https://www.raspadskaya.com/investors/,https://disclosure.skrin.ru/issuers?search=RASP,both,financial_statements;annual_report;issuer_report,true,official issuer,2026-05-12,needs_manual_review,reachable_no_static_direct_links,issuer_specific_js_or_embedded_json_adapter,Official investor page; exact reporting subsection requires manual review.
47,MTLR,Mechel,metals_and_mining,https://www.mechel.com,https://www.mechel.com/shareholders/,https://www.mechel.com/shareholders/reporting/,https://disclosure.skrin.ru/issuers?search=MTLR,both,financial_statements;annual_report;issuer_report,true,official issuer,2026-05-12,needs_manual_review,tls_or_certificate_blocked,disclosure_provider_or_tls_diagnostics,Official shareholder reporting page.
48,KMAZ,KAMAZ,industrial,https://kamaz.ru,https://kamaz.ru/en/investors-and-shareholders/,https://kamaz.ru/en/investors-and-shareholders/,https://disclosure.skrin.ru/issuers?search=KMAZ,both,financial_statements;annual_report;issuer_report,true,official issuer,2026-05-12,needs_manual_review,reachable_no_static_direct_links,issuer_specific_js_or_embedded_json_adapter,Official investor page; exact reporting subsection requires manual review.
49,FLOT,Sovcomflot,transport,https://www.scf-group.ru,https://www.scf-group.ru/en/investors/,https://www.scf-group.ru/en/investors/,https://disclosure.skrin.ru/issuers?search=FLOT,both,financial_statements;annual_report;issuer_report,true,official issuer,2026-05-12,needs_manual_review,reachable_no_static_direct_links,issuer_specific_js_or_embedded_json_adapter,Official investor page; exact reports subsection requires manual review.
50,NMTP,NCSP Group,transport,https://www.nmtp.info,https://www.nmtp.info/en/investors/,https://www.nmtp.info/en/investors/,https://disclosure.skrin.ru/issuers?search=NMTP,both,financial_statements;annual_report;issuer_report,true,official issuer,2026-05-12,needs_manual_review,timeout_or_slow_source,issuer_specific_adapter_or_manual_upload,Official investor page; exact reports subsection requires manual review.
